出資元・企業ID,出資元・企業名,company_id,company_name,corporate_number,corporate_name,location,status,number_of_activity,update_date,LocName,lon,lat,iConf,iLvl,count
5260.0,ピアラ,5260.0,ピアラ,6011001059993,株式会社ピアラ,東京都渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー,-,64,2018-04-27T00:00:00+09:00,東京都/渋谷区/恵比寿/４丁目/２０番/３号,139.71270202825247,35.64315215131268,5.0,8.0,1
6160.0,アニヴェルセルHOLDINGS,6160.0,アニヴェルセルHOLDINGS,5010401039499,株式会社アニヴェルセルＨＯＬＤＩＮＧＳ,東京都港区北青山３丁目５番３０号,-,0,2018-07-10T00:00:00+09:00,東京都/港区/北青山/３丁目/５番/３０号,139.7112612277305,35.666079535800186,5.0,8.0,1
21681.0,アマノ,21681.0,アマノ,1090001003050,株式会社天野製作所,山梨県中巨摩郡昭和町築地新居１６６９番地,-,13,2019-10-03T00:00:00+09:00,山梨県/中巨摩郡/昭和町/築地新居/１６６９−１０番地,138.5184544524189,35.62978215978584,4.0,8.0,1
24069.0,スマイル,24069.0,スマイル,1011001097263,ネットスマイル株式会社,東京都文京区湯島４丁目１番１１号,-,15,2019-03-27T00:00:00+09:00,東京都/文京区/湯島/４丁目/１番/１１号,139.7647350206925,35.707586305111036,5.0,8.0,1
6279.0,スカパーJSAT,6279.0,スカパーJSAT,7010401072259,スカパーＪＳＡＴ株式会社,東京都港区赤坂１丁目８番１号,-,164,2021-12-10T00:00:00+09:00,東京都/港区/赤坂/１丁目/８番/１号,139.7426984023662,35.67006993066598,5.0,8.0,1
6284.0,スパークス・グループ,6284.0,スパークス・グループ,4010701012248,スパークス・グループ株式会社,東京都港区港南１丁目２番７０号品川シーズンテラス,-,18,2018-05-11T00:00:00+09:00,東京都/港区/港南/１丁目/２番,139.74383972746293,35.63476392861785,5.0,7.0,1
23907.0,日本工営,23907.0,日本工営,2010001016851,日本工営株式会社,東京都千代田区麹町５丁目４番地,-,593,2018-04-26T00:00:00+09:00,東京都/千代田区/麹町/５丁目/４番,139.73391855518543,35.68473804615514,5.0,7.0,1
23582.0,八神製作所,23582.0,八神製作所,6180001041516,株式会社八神製作所,愛知県名古屋市中区千代田２丁目１６番３０号,-,34,2018-04-02T00:00:00+09:00,愛知県/名古屋市/中区/千代田/２丁目/１６番/３０号,136.9136708905915,35.15655527687865,5.0,8.0,1
11643.0,島津製作所,11643.0,島津製作所,6130001021068,株式会社島津製作所,京都府京都市中京区西ノ京桑原町１番地,-,7483,2018-04-11T00:00:00+09:00,京都府/京都市/中京区/西ノ京桑原町/１番地,135.72880961029657,35.00892357427933,5.0,8.0,1
6657.0,講談社,6657.0,講談社,5010001002592,株式会社講談社,東京都文京区音羽２丁目１２番２１号,-,427,2019-03-06T00:00:00+09:00,東京都/文京区/音羽/２丁目/１２番/２１号,139.72772775340314,35.717614183006134,5.0,8.0,1
21828.0,集英社,21828.0,集英社,5010001018556,株式会社集英社,東京都千代田区一ツ橋２丁目５番１０号,-,1161,2018-09-03T00:00:00+09:00,東京都/千代田区/一ツ橋/２丁目/５番/１０号,139.75801610992414,35.69471757137869,5.0,8.0,1
